S.no.,NAME OF STATE ,NAME OF DISTRICT,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Available Ground Water ,Current Annual Ground Water Extraction For Irrigation,Total Ground Water,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
286,KERALA,PATHANAMTHITTA,18298.81,132.19,6343.97,3533.64,28308.61,25583.23,3927.38,9448.53,16134.7,36.93
287,KERALA,THIRUVANANTHAPURAM,19598.91,246.64,6602.58,3037.03,29485.17,26970.47,5429.26,17215.8,9367.15,63.83
288,KERALA,THRISSUR,41301.19,923.56,5888.42,17113.35,65226.52,59048.35,21348.86,34056.1,24243.27,57.67
289,KERALA,WAYANAD,25034.74,31.29,0,670.79,25736.83,23163.14,1665.46,5677.61,17374.67,24.51
290,MADHYAPRADESH,AGAR,33210.85,2451.57,0,8723.77,44386.19,42166.88,37652.02,39149.53,5474.79,92.84
291,MADHYAPRADESH,ALIRAJPUR,17303.91,761.64,0,1599.22,19664.77,18279.15,5781.41,8227.55,9755.98,45.01
292,MADHYAPRADESH,ANUPPUR,30420,101,5577.47,269,36367.47,34549.47,1307,2754,31556.42,7.97
293,MADHYAPRADESH,ASHOKNAGAR,31436.36,2198.44,0,8283.15,41917.95,39821.99,20075.63,21865.93,17569.99,54.91
294,MADHYAPRADESH,BALAGHAT,79825,4033,8005.11,2732,94595.11,89518.11,11760.05,15289,73242.72,17.08
295,MADHYAPRADESH,BARWANI,43282.48,2592.54,0,28779.87,74654.89,70775.53,35659.06,38993.26,31065.73,55.09
296,MADHYAPRADESH,BETUL,87832.29,4914.79,15543.34,17950.96,126241.38,119671.78,65907.71,68986.65,49921.41,57.65
297,MADHYAPRADESH,BHIND,58262.08,1354.22,2332.83,14175.95,76125.08,72318.86,23214.79,26026.74,45202.07,35.99
298,MADHYAPRADESH,BHOPAL,28779,4565,0,5604,38948,37001,23462,25955,10672.05,70.15
299,MADHYAPRADESH,BURHANPUR,31137.27,1167.14,0,5827.37,38131.78,36013.37,22765.41,24202.6,11442.06,67.2
300,MADHYAPRADESH,CHHATARPUR,80722.05,4192.27,0,18549.74,103464.06,98493.03,57599.96,60773.92,36917.6,61.7
301,MADHYAPRADESH,CHHINDWARA,90989,3878,11903.79,12802,119572.79,113351.79,58651,62575,49840.19,55.2
302,MADHYAPRADESH,DAMOH,29884.61,2032.92,0,8963.43,40880.96,38283.47,19581.66,22279.32,15183.69,58.2
303,MADHYAPRADESH,DATIA,29126.08,755.83,0,6694.67,36576.58,34747.76,12584.03,13955.1,20503.11,40.16
304,MADHYAPRADESH,DEWAS,65191.87,3163.86,0,14705.92,83061.65,78745.17,62446.51,66325.6,14017.33,84.23
305,MADHYAPRADESH,DHAR,82177,5498,0,32342,120017,113217.64,73000.19,77988.57,40215.09,68.88
306,MADHYAPRADESH,DINDORI,33793,122,4682.05,417,39014.05,36408.05,2076,3709,32179.1,10.19
307,MADHYAPRADESH,GUNA,69841.94,4281.77,0,13680.39,87804.1,83413.77,43898.77,46124.79,36508.8,55.3
308,MADHYAPRADESH,GWALIOR,51556,8152,1359,17709,78776,74837,18890.59,22348.18,51225.77,29.86
309,MADHYAPRADESH,HARDA,32120,2853,0,15692,50665,48132,13795,14902,32971.95,30.96
310,MADHYAPRADESH,HOSHANGABAD,124441,11000,0,61145,196586,186782,39817,41680,144408.55,22.31
311,MADHYAPRADESH,INDORE,37608,7091,0,13193,57892,54997,57544,64141,3143.9,116.63
312,MADHYAPRADESH,JABALPUR,58987,3628,1070,6659,70344,66823,25607,28380,37820.05,42.47
313,MADHYAPRADESH,JHABUA,20865.68,792.98,0,2383.08,24041.74,22230.96,10039.47,12722.26,8918.97,57.23
314,MADHYAPRADESH,KATNI,30701,1768,0,4767,37236,35385,13957,16464,17733.95,46.53
315,MADHYAPRADESH,KHANDWA,52810.08,2736.45,0,51211.66,106758.19,101065.53,40713.16,43364.22,56620.06,42.91
316,MADHYAPRADESH,KHARGONE,63680.41,3341.48,0,66590.74,133612.63,126704.03,42281.12,46185.25,79300.92,36.45
317,MADHYAPRADESH,MANDLA,44442.5,863.23,6575.45,3858.74,55739.92,49909.92,6430,8867.3,40278.84,17.77
318,MADHYAPRADESH,MANDSAUR,46559.88,2784.63,0,12095.16,61439.67,58367.69,57087.86,60244.7,1695.81,103.22
319,MADHYAPRADESH,MORENA,49923.96,970,0,20804,71697.96,68113.96,19604,24224,38280.96,35.56
320,MADHYAPRADESH,NARSINGHPUR,104397.95,3255.17,0,16195.49,123848.61,117613.27,72389.65,74501.77,42674.61,63.34
321,MADHYAPRADESH,NEEMUCH,30833.06,4035.45,0,8165.63,43034.14,40882.44,34006.48,35748.52,4738.5,87.44
322,MADHYAPRADESH,PANNA,41228.77,1014.41,0,5383.68,47626.86,44965.39,14259.89,16410.86,27661.66,36.5
323,MADHYAPRADESH,RAISEN,76591.69,3257.56,0,9480.92,89330.17,84863.71,40757.16,44396.28,39725.05,52.31
324,MADHYAPRADESH,RAJGARH,71944.38,4439.74,0,12575.05,88959.17,84511.21,66974.15,70539.68,13335.78,83.47
325,MADHYAPRADESH,RATLAM,58567.66,5881.47,0,20690.64,85139.77,80882.77,99287.2,102423.17,2764.17,126.63
326,MADHYAPRADESH,REWA,46107.2,2699.16,1439.82,12228.54,62474.72,59043.14,21734.56,26582.62,31918.09,45.02
327,MADHYAPRADESH,SAGAR,91016,3616.3,0,14760.87,109393.17,103446.27,56953.05,60315.74,41001.45,58.31
328,MADHYAPRADESH,SATNA,45101.95,3168.33,3467.63,12970.38,64708.29,61419.25,37639.1,41860.17,18470.1,68.15
329,MADHYAPRADESH,SEHORE,58466.39,3656.46,0,12451.74,74574.59,70844.86,41495.49,43865.18,26180.08,61.92
330,MADHYAPRADESH,SEONI,67485,1761,3520.7,5865,78631.7,74391.7,25682,28669,45066.65,38.54
331,MADHYAPRADESH,SHAHDOL,47145.5,245.02,7371.51,1030.88,55792.91,52728.41,2681.56,4763,47552.22,9.03
332,MADHYAPRADESH,SHAJAPUR,46005.31,2920.61,0,9661.5,58587.42,55658.04,55071.97,57061.03,3557.82,102.52
333,MADHYAPRADESH,SHEOPUR,33569.28,781.99,0,18725.86,53077.13,48321.85,15637.03,17376.34,30769.49,35.96
334,MADHYAPRADESH,SHIVPURI,60904.53,3342.85,0,13694.96,77942.34,73451.32,47078.63,50831.63,21722.3,69.2
335,MADHYAPRADESH,SIDHI,27743.1,838.69,3545.53,1960.96,34088.28,32259.48,6948.3,9464,22301.17,29.34
336,MADHYAPRADESH,SINGRAULI,36463.69,722.85,0,2228.05,39414.59,37232.04,8283.15,10472.9,26568.13,28.13
337,MADHYAPRADESH,TIKAMGARH,39812.81,3058.72,0,11114.48,53986.01,51286.71,33793.39,37413.35,11343.48,72.95
338,MADHYAPRADESH,UJJAIN,71197.3,4816.38,0,18792.33,94806.01,90065.7,85334.3,88575.88,9098.42,98.35
339,MADHYAPRADESH,UMARIA,40067,377,5916.66,948.4,47309.06,44810.56,4059.1,5425.8,39120.06,12.11
340,MADHYAPRADESH,VIDISHA,78864.5,2598.18,0,11755.17,93217.85,88556.95,49331.56,52464.67,34950.75,59.24
341,MAHARASHTRA,AHMEDNAGAR,86779.79,13218.21,14556.76,45839.9,160394.66,151755.85,114971.91,120574.37,38775.64,79.45
342,MAHARASHTRA,AKOLA,32077,1388.27,300.6,8648.42,42414.28,39455.52,21286.27,23633.76,12853.2,59.9
343,MAHARASHTRA,AMRAVATI,61081.3,4616.65,1574.71,27139.38,94412.04,87927.15,75242.92,77647.82,18434.15,88.31
344,MAHARASHTRA,AURANGABAD,65441.68,6707.02,334.38,30575.06,103058.14,97872.44,68437.74,71917.59,15728.53,73.48
345,MAHARASHTRA,BEED,78387.68,7881.46,6240.28,33102.83,125612.25,119324.86,67596.39,71773.68,39590.95,60.15
346,MAHARASHTRA,BHANDARA,31142.09,45350.23,417.8,15413.63,92323.75,85539.63,20990.98,24512.27,60731.32,28.66
347,MAHARASHTRA,BULDHANA,64156.86,4768.16,275.87,19519.09,88719.98,83592.31,58983.5,62089.78,23043.24,74.28
